date,row,shape,males,females,total,juvenile_males,juvenile_females,workers_m,workers_f,furlough_m,furlough_f,open_ward_m,open_ward_f,er_trips_m,er_trips_f,in_out_m,in_out_f,note
2013-12-21,asd_cannery,facility,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,
2013-12-21,asd_wrp,facility,94,7,105,0,0,4,0,0,0,0,0,0,0,0,0,
2013-12-21,asd_asdcu,facility,207,0,207,0,0,0,0,0,0,0,0,0,0,0,0,
2013-12-21,asd_cambria,facility,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,
2013-12-21,asd_mod3,facility,75,0,78,0,0,3,0,0,0,0,0,0,0,0,0,
2013-12-21,cec,summary,317,0,317,,,,,,,,,,,,,
2013-12-21,cfcf,facility,2772,0,2774,0,0,0,0,0,0,2,0,0,0,0,0,
2013-12-21,dc,facility,1290,0,1291,0,0,0,0,0,0,1,0,0,0,0,0,
2013-12-21,dc_phsw,facility,43,3,49,0,0,0,0,0,0,2,0,0,1,0,0,
2013-12-21,delaware_county,summary,0,0,0,,,,,,,,,,,,,
2013-12-21,hoc,facility,1542,0,1542,0,0,0,0,0,0,0,0,0,0,0,0,
2013-12-21,lehigh_county,summary,41,2,43,,,,,,,,,,,,,
2013-12-21,liberty,facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013-12-21,nif_total,summary,12,2,14,,,,,,,,,,,,,
2013-12-21,other_jurisdictions,summary,72,9,81,,,,,,,,,,,,,
2013-12-21,out_of_county,summary,0,0,0,,,,,,,,,,,,,
2013-12-21,picc,facility,1049,0,1085,36,0,0,0,0,0,0,0,0,0,0,0,
2013-12-21,pdp_in_facility,facility,7424,843,8318,36,1,7,0,0,0,5,1,0,1,0,0,
2013-12-21,pdp_headcount_nif,summary,7472,846,8318,,,,,,,,,,,,,
2013-12-21,pdp_headcount_nif_oj,summary,7081,780,8399,,,,,,,,,,,,,"males + females = 7861, published total 8399"
2013-12-21,rcf,facility,0,724,726,0,1,0,0,0,0,0,1,0,0,0,0,
2013-12-21,state_doc,summary,0,0,0,,,,,,,,,,,,,
2013-12-21,total,summary,7439,782,8759,,,,,,,,,,,,,"males + females = 8221, published total 8759"
2013-12-21,in_facility_total,summary,7460,844,8304,,,14,0,,,10,2,,,,,
2013-12-21,weekenders,facility,112,25,137,0,0,0,0,0,0,0,0,0,0,0,0,
2014-01-20,asd_cannery,facility,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,
2014-01-20,asd_wrp,facility,79,7,89,0,0,3,0,0,0,0,0,0,0,0,0,
2014-01-20,asd_asdcu,facility,206,0,207,0,0,0,0,0,0,1,0,0,0,0,0,
2014-01-20,asd_cambria,facility,238,0,238,0,0,0,0,0,0,0,0,0,0,0,0,
2014-01-20,asd_mod3,facility,70,0,71,0,0,1,0,0,0,0,0,0,0,0,0,
2014-01-20,cec,summary,344,0,344,,,,,,,,,,,,,
2014-01-20,cfcf,facility,2857,0,2860,0,0,0,0,0,0,3,0,0,0,0,0,
2014-01-20,dc,facility,1296,0,1297,0,0,0,0,0,0,1,0,0,0,0,0,
2014-01-20,dc_phsw,facility,54,4,61,0,0,0,0,0,0,1,2,0,0,0,0,
2014-01-20,delaware_county,summary,0,0,0,,,,,,,,,,,,,
2014-01-20,hoc,facility,1563,0,1563,0,0,0,0,0,0,0,0,0,0,0,0,
2014-01-20,lehigh_county,summary,54,1,55,,,,,,,,,,,,,
2014-01-20,liberty,facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-01-20,nif_total,summary,10,2,12,,,,,,,,,,,,,
2014-01-20,other_jurisdictions,summary,76,8,84,,,,,,,,,,,,,
2014-01-20,out_of_county,summary,0,0,0,,,,,,,,,,,,,
2014-01-20,picc,facility,1020,0,1056,36,0,0,0,0,0,0,0,0,0,0,0,
2014-01-20,pdp_in_facility,facility,7384,800,8233,36,1,4,0,0,0,6,2,0,0,0,0,
2014-01-20,pdp_headcount_nif,summary,7430,803,8233,,,,,,,,,,,,,
2014-01-20,pdp_headcount_nif_oj,summary,7430,823,8317,,,,,,,,,,,,,"males + females = 8253, published total 8317"
2014-01-20,rcf,facility,0,704,705,0,1,0,0,0,0,0,0,0,0,0,0,
2014-01-20,state_doc,summary,0,0,0,,,,,,,,,,,,,
2014-01-20,total,summary,7828,824,8716,,,,,,,,,,,,,"males + females = 8652, published total 8716"
2014-01-20,in_facility_total,summary,7420,801,8221,,,8,0,,,12,4,,,,,
2014-01-20,weekenders,facility,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2014-02-27,asd_cannery,facility,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,
2014-02-27,asd_wrp,facility,81,7,91,0,0,3,0,0,0,0,0,0,0,0,0,
2014-02-27,asd_asdcu,facility,189,0,189,0,0,0,0,0,0,0,0,0,0,0,0,
2014-02-27,asd_cambria,facility,239,0,239,0,0,0,0,0,0,0,0,0,0,0,0,
2014-02-27,asd_mod3,facility,53,0,56,0,0,3,0,0,0,0,0,0,0,0,0,
2014-02-27,cec,summary,315,0,315,,,,,,,,,,,,,
2014-02-27,cfcf,facility,2861,0,2862,0,0,0,0,0,0,1,0,0,0,0,0,
2014-02-27,dc,facility,1326,0,1327,0,0,0,0,0,0,1,0,0,0,0,0,
2014-02-27,dc_phsw,facility,47,4,53,0,0,0,0,0,0,2,0,0,0,0,0,
2014-02-27,delaware_county,summary,0,0,0,,,,,,,,,,,,,
2014-02-27,hoc,facility,1533,0,1533,0,0,0,0,0,0,0,0,0,0,0,0,
2014-02-27,lehigh_county,summary,38,2,40,,,,,,,,,,,,,
2014-02-27,liberty,facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-02-27,nif_total,summary,10,1,11,,,,,,,,,,,,,
2014-02-27,other_jurisdictions,summary,70,6,76,,,,,,,,,,,,,
2014-02-27,out_of_county,summary,0,0,0,,,,,,,,,,,,,
2014-02-27,picc,facility,1008,0,1041,33,0,0,0,0,0,0,0,0,0,0,0,
2014-02-27,pdp_in_facility,facility,7339,789,8174,33,2,6,0,0,0,4,1,0,0,0,0,
2014-02-27,pdp_headcount_nif,summary,7382,792,8174,,,,,,,,,,,,,
2014-02-27,pdp_headcount_nif_oj,summary,7430,823,8250,,,,,,,,,,,,,"males + females = 8253, published total 8250"
2014-02-27,rcf,facility,0,721,724,0,2,0,0,0,0,0,1,0,0,0,0,
2014-02-27,state_doc,summary,0,0,0,,,,,,,,,,,,,
2014-02-27,total,summary,7783,825,8605,,,,,,,,,,,,,"males + females = 8608, published total 8605"
2014-02-27,in_facility_total,summary,7372,791,8163,,,12,0,,,8,2,,,,,
2014-02-27,weekenders,facility,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
2014-04-20,asd_cannery,facility,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,
2014-04-20,asd_wrp,facility,66,5,73,0,0,2,0,0,0,0,0,0,0,0,0,
2014-04-20,asd_asdcu,facility,138,0,138,0,0,0,0,0,0,0,0,0,0,0,0,
2014-04-20,asd_cambria,facility,238,0,239,0,0,0,0,0,0,1,0,0,0,0,0,
2014-04-20,asd_mod3,facility,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,
2014-04-20,cec,summary,318,0,318,,,,,,,,,,,,,
2014-04-20,cfcf,facility,2756,0,2760,0,0,0,0,0,0,3,0,1,0,0,0,
2014-04-20,dc,facility,1258,0,1258,0,0,0,0,0,0,0,0,0,0,0,0,
2014-04-20,dc_phsw,facility,38,7,46,0,0,0,0,0,0,1,0,0,0,0,0,
2014-04-20,delaware_county,summary,0,0,0,,,,,,,,,,,,,
2014-04-20,hoc,facility,1613,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,
2014-04-20,lehigh_county,summary,28,2,30,,,,,,,,,,,,,
2014-04-20,liberty,facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-04-20,nif_total,summary,8,1,9,,,,,,,,,,,,,
2014-04-20,other_jurisdictions,summary,69,5,74,,,,,,,,,,,,,
2014-04-20,out_of_county,summary,0,0,0,,,,,,,,,,,,,
2014-04-20,picc,facility,972,0,1019,47,0,0,0,0,0,0,0,0,0,0,0,
2014-04-20,pdp_in_facility,facility,7136,794,7993,47,7,2,0,0,0,5,1,1,0,0,0,
2014-04-20,pdp_headcount_nif,summary,7191,802,7993,,,,,,,,,,,,,
2014-04-20,pdp_headcount_nif_oj,summary,7430,823,8067,,,,,,,,,,,,,"males + females = 8253, published total 8067"
2014-04-20,rcf,facility,0,729,737,0,7,0,0,0,0,0,1,0,0,0,0,
2014-04-20,state_doc,summary,0,0,0,,,,,,,,,,,,,
2014-04-20,total,summary,7776,825,8415,,,,,,,,,,,,,"males + females = 8601, published total 8415"
2014-04-20,in_facility_total,summary,7183,801,7984,,,4,0,,,10,2,,,,,
2014-04-20,weekenders,facility,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2014-07-29,asd_cannery,facility,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,
2014-07-29,asd_wrp,facility,65,3,69,0,0,1,0,0,0,0,0,0,0,0,0,
2014-07-29,asd_asdcu,facility,156,0,156,0,0,0,0,0,0,0,0,0,0,0,0,
2014-07-29,asd_cambria,facility,238,0,238,0,0,0,0,0,0,0,0,0,0,0,0,
2014-07-29,asd_mod3,facility,78,0,78,0,0,0,0,0,0,0,0,0,0,0,0,
2014-07-29,cec,summary,323,0,323,,,,,,,,,,,,,
2014-07-29,cfcf,facility,2794,0,2797,0,0,0,0,0,0,3,0,0,0,0,0,
2014-07-29,dc,facility,1071,0,1071,0,0,0,0,0,0,0,0,0,0,0,0,
2014-07-29,dc_phsw,facility,51,6,58,0,0,0,0,0,0,1,0,0,0,0,0,
2014-07-29,delaware_county,summary,0,0,0,,,,,,,,,,,,,
2014-07-29,hoc,facility,1487,0,1491,0,0,0,0,0,0,4,0,0,0,0,0,
2014-07-29,lehigh_county,summary,40,3,43,,,,,,,,,,,,,
2014-07-29,liberty,facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-07-29,nif_total,summary,9,0,9,,,,,,,,,,,,,
2014-07-29,other_jurisdictions,summary,72,3,75,,,,,,,,,,,,,
2014-07-29,out_of_county,summary,0,0,0,,,,,,,,,,,,,
2014-07-29,picc,facility,1035,0,1074,39,0,0,0,0,0,0,0,0,0,0,0,
2014-07-29,pdp_in_facility,facility,6977,825,7857,39,7,1,0,0,0,8,0,0,0,0,0,
2014-07-29,pdp_headcount_nif,summary,7025,832,7857,,,,,,,,,,,,,
2014-07-29,pdp_headcount_nif_oj,summary,7430,823,7932,,,,,,,,,,,,,"males + females = 8253, published total 7932"
2014-07-29,rcf,facility,0,722,729,0,7,0,0,0,0,0,0,0,0,0,0,
2014-07-29,state_doc,summary,0,0,0,,,,,,,,,,,,,
2014-07-29,total,summary,7460,838,8298,,,,,,,,,,,,,
2014-07-29,in_facility_total,summary,7016,832,7848,,,2,0,,,16,0,,,,,
2014-07-29,weekenders,facility,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-11,asd_cannery,facility,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-11,asd_wrp,facility,48,0,52,0,0,4,0,0,0,0,0,0,0,0,0,
2014-11-11,asd_asdcu,facility,106,0,106,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-11,asd_cambria,facility,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-11,asd_mod3,facility,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-11,cec,summary,299,0,299,,,,,,,,,,,,,
2014-11-11,cfcf,facility,2872,0,2875,0,0,0,0,0,0,3,0,0,0,0,0,
2014-11-11,dc,facility,1230,0,1233,0,0,0,0,0,0,3,0,0,0,0,0,
2014-11-11,dc_phsw,facility,58,3,64,0,0,0,0,0,0,1,1,1,0,0,0,
2014-11-11,delaware_county,summary,0,0,0,,,,,,,,,,,,,
2014-11-11,hoc,facility,1579,0,1579,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-11,lehigh_county,summary,40,4,44,,,,,,,,,,,,,
2014-11-11,liberty,facility,23,5,0,28,0,0,0,0,0,0,0,0,0,0,0,
2014-11-11,nif_total,summary,12,3,15,,,,,,,,,,,,,
2014-11-11,other_jurisdictions,summary,75,4,79,,,,,,,,,,,,,
2014-11-11,out_of_county,summary,0,0,0,,,,,,,,,,,,,
2014-11-11,picc,facility,1017,0,1052,35,0,0,0,0,0,0,0,0,0,0,0,
2014-11-11,pdp_in_facility,facility,7202,785,8039,35,2,4,0,0,0,7,3,1,0,0,0,
2014-11-11,pdp_headcount_nif,summary,7249,790,8039,,,,,,,,,,,,,
2014-11-11,pdp_headcount_nif_oj,summary,7430,823,8118,,,,,,,,,,,,,"males + females = 8253, published total 8118"
2014-11-11,rcf,facility,0,705,709,0,2,0,0,0,0,0,2,0,0,0,0,
2014-11-11,state_doc,summary,0,0,0,,,,,,,,,,,,,
2014-11-11,total,summary,7686,803,8489,,,,,,,,,,,,,
2014-11-11,in_facility_total,summary,7237,787,8024,,,8,0,,,14,6,,,,,
2014-11-11,weekenders,facility,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-09,asd_cannery,facility,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-09,asd_wrp,facility,41,0,45,0,0,4,0,0,0,0,0,0,0,0,0,
2015-02-09,asd_asdcu,facility,126,0,126,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-09,asd_cambria,facility,179,0,179,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-09,asd_mod3,facility,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-09,cec,summary,290,0,290,,,,,,,,,,,,,
2015-02-09,cfcf,facility,2778,0,2785,0,0,0,0,0,0,5,0,2,0,0,0,
2015-02-09,dc,facility,1209,0,1210,0,0,0,0,0,0,1,0,0,0,0,0,
2015-02-09,dc_phsw,facility,49,6,57,0,0,0,0,0,0,1,1,0,0,0,0,
2015-02-09,delaware_county,summary,0,0,0,,,,,,,,,,,,,
2015-02-09,hoc,facility,1384,0,1384,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-09,lehigh_county,summary,37,3,40,,,,,,,,,,,,,
2015-02-09,liberty,facility,25,5,0,30,0,0,0,0,0,0,0,0,0,0,0,
2015-02-09,nif_total,summary,14,2,16,,,,,,,,,,,,,
2015-02-09,other_jurisdictions,summary,76,3,79,,,,,,,,,,,,,
2015-02-09,out_of_county,summary,0,0,0,,,,,,,,,,,,,
2015-02-09,picc,facility,1016,0,1063,46,0,0,0,0,0,1,0,0,0,0,0,
2015-02-09,pdp_in_facility,facility,6842,741,7646,46,1,4,0,0,0,8,2,2,0,0,0,
2015-02-09,pdp_headcount_nif,summary,6902,744,7646,,,,,,,,,,,,,
2015-02-09,pdp_headcount_nif_oj,summary,7430,823,7725,,,,,,,,,,,,,"males + females = 8253, published total 7725"
2015-02-09,rcf,facility,0,697,699,0,1,0,0,0,0,0,1,0,0,0,0,
2015-02-09,state_doc,summary,0,0,0,,,,,,,,,,,,,
2015-02-09,total,summary,7330,755,8085,,,,,,,,,,,,,
2015-02-09,in_facility_total,summary,6888,742,7630,,,8,0,,,16,4,,,,,
2015-02-09,weekenders,facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,asd_cannery,facility,0,35,36,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,asd_wrp,facility,39,0,43,0,0,4,0,0,0,0,0,0,0,0,0,
2015-02-26,asd_asdcu,facility,118,0,118,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,asd_cambria,facility,142,0,142,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,asd_mod3,facility,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,cec,summary,302,0,302,,,,,,,,,,,,,
2015-02-26,cfcf,facility,2756,0,2761,0,0,0,0,0,0,4,0,1,0,0,0,
2015-02-26,dc,facility,1160,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,dc_phsw,facility,51,5,56,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,delaware_county,summary,0,0,0,,,,,,,,,,,,,
2015-02-26,hoc,facility,1386,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,lehigh_county,summary,29,3,32,,,,,,,,,,,,,
2015-02-26,liberty,facility,24,4,0,28,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,nif_total,summary,9,3,12,,,,,,,,,,,,,
2015-02-26,other_jurisdictions,summary,76,5,81,,,,,,,,,,,,,
2015-02-26,out_of_county,summary,0,0,0,,,,,,,,,,,,,
2015-02-26,picc,facility,1020,0,1060,40,0,0,0,0,0,0,0,0,0,0,0,
2015-02-26,pdp_in_facility,facility,6730,731,7514,40,1,4,1,0,0,4,2,1,0,0,0,
2015-02-26,pdp_headcount_nif,summary,6779,735,7514,,,,,,,,,,,,,
2015-02-26,pdp_headcount_nif_oj,summary,7430,823,7595,,,,,,,,,,,,,"males + females = 8253, published total 7595"
2015-02-26,rcf,facility,0,691,694,0,1,0,0,0,0,0,2,0,0,0,0,
2015-02-26,state_doc,summary,0,0,0,,,,,,,,,,,,,
2015-02-26,total,summary,7210,747,7957,,,,,,,,,,,,,
2015-02-26,in_facility_total,summary,6770,732,7502,,,8,1,,,8,4,,,,,
2015-02-26,weekenders,facility,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
2015-05-28,asd_cannery,facility,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,
2015-05-28,asd_wrp,facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015-05-28,asd_asdcu,facility,111,0,111,0,0,0,0,0,0,0,0,0,0,0,0,
2015-05-28,asd_cambria,facility,149,0,149,0,0,0,0,0,0,0,0,0,0,0,0,
2015-05-28,asd_mod3,facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2015-05-28,cec,summary,295,0,295,,,,,,,,,,,,,
2015-05-28,cfcf,facility,2711,0,2714,0,0,0,0,0,0,1,0,2,0,0,0,
2015-05-28,dc,facility,1163,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,
2015-05-28,dc_phsw,facility,46,3,50,0,0,0,0,0,0,1,0,0,0,0,0,
2015-05-28,delaware_county,summary,0,0,0,,,,,,,,,,,,,
2015-05-28,hoc,facility,1511,0,1512,0,0,0,0,0,0,1,0,0,0,0,0,
2015-05-28,lehigh_county,summary,41,1,42,,,,,,,,,,,,,
2015-05-28,liberty,facility,49,8,0,57,0,0,0,0,0,0,0,0,0,0,0,
2015-05-28,nif_total,summary,6,1,7,,,,,,,,,,,,,
2015-05-28,other_jurisdictions,summary,83,4,87,,,,,,,,,,,,,
2015-05-28,out_of_county,summary,0,0,0,,,,,,,,,,,,,
