date,total,males,females,in_facility,not_in_facility,other_jurisdictions,juveniles_in_facility,open_ward,emergency_trips,workers,furlough,note,cfcf,dc,dc_phsw,picc,rcf,hoc,cec,asd_cambria,asd_cannery,asd_wrp,asd_asdcu,asd_mod3,weekenders,liberty,roth,cfcf_males,cfcf_females,cfcf_juveniles,dc_males,dc_females,dc_juveniles,dc_phsw_males,dc_phsw_females,dc_phsw_juveniles,picc_males,picc_females,picc_juveniles,rcf_males,rcf_females,rcf_juveniles,hoc_males,hoc_females,hoc_juveniles,cec_males,cec_females,cec_juveniles,asd_cambria_males,asd_cambria_females,asd_cambria_juveniles,asd_cannery_males,asd_cannery_females,asd_cannery_juveniles,asd_wrp_males,asd_wrp_females,asd_wrp_juveniles,asd_asdcu_males,asd_asdcu_females,asd_asdcu_juveniles,asd_mod3_males,asd_mod3_females,asd_mod3_juveniles,weekenders_males,weekenders_females,weekenders_juveniles,liberty_males,liberty_females,liberty_juveniles,roth_males,roth_females,roth_juveniles,in_facility_males,in_facility_females,lehigh_county,delaware_county,state_doc,out_of_county
2013-12-21,8759,7439,782,8304,14,81,37,6,1,7,0,"males + females = 8221, published total 8759",2774,1291,49,1085,726,1542,317,240,84,105,207,78,137,0,,2772,0,0,1290,0,0,43,3,0,1049,0,36,0,724,1,1542,0,0,317,0,,240,0,0,0,84,0,94,7,0,207,0,0,75,0,0,112,25,0,0,0,0,,,,7460,844,43,0,0,0
2014-01-20,8716,7828,824,8221,12,84,37,8,0,4,0,"males + females = 8652, published total 8716",2860,1297,61,1056,705,1563,344,238,85,89,207,71,1,0,,2857,0,0,1296,0,0,54,4,0,1020,0,36,0,704,1,1563,0,0,344,0,,238,0,0,0,85,0,79,7,0,206,0,0,70,0,0,1,0,0,0,0,0,,,,7420,801,55,0,0,0
2014-02-27,8605,7783,825,8163,11,76,35,5,0,6,0,"males + females = 8608, published total 8605",2862,1327,53,1041,724,1533,315,239,57,91,189,56,2,0,,2861,0,0,1326,0,0,47,4,0,1008,0,33,0,721,2,1533,0,0,315,0,,239,0,0,0,57,0,81,7,0,189,0,0,53,0,0,2,0,0,0,0,0,,,,7372,791,40,0,0,0
2014-04-20,8415,7776,825,7984,9,74,54,6,1,2,0,"males + females = 8601, published total 8415",2760,1258,46,1019,737,1613,318,239,53,73,138,56,1,0,,2756,0,0,1258,0,0,38,7,0,972,0,47,0,729,7,1613,0,0,318,0,,238,0,0,0,53,0,66,5,0,138,0,0,56,0,0,1,0,0,0,0,0,,,,7183,801,30,0,0,0
2014-07-29,8298,7460,838,7848,9,75,46,8,0,1,0,,2797,1071,58,1074,729,1491,323,238,93,69,156,78,3,0,,2794,0,0,1071,0,0,51,6,0,1035,0,39,0,722,7,1487,0,0,323,0,,238,0,0,0,93,0,65,3,0,156,0,0,78,0,0,2,1,0,0,0,0,,,,7016,832,43,0,0,0
2014-11-11,8489,7686,803,8024,15,79,37,10,1,4,0,,2875,1233,64,1052,709,1579,299,240,76,52,106,48,5,0,,2872,0,0,1230,0,0,58,3,0,1017,0,35,0,705,2,1579,0,0,299,0,,240,0,0,0,76,0,48,0,0,106,0,0,48,0,0,4,1,0,23,5,28,,,,7237,787,44,0,0,0
2015-02-09,8085,7330,755,7630,16,79,47,10,2,4,0,,2785,1210,57,1063,699,1384,290,179,38,45,126,60,0,0,,2778,0,0,1209,0,0,49,6,0,1016,0,46,0,697,1,1384,0,0,290,0,,179,0,0,0,38,0,41,0,0,126,0,0,60,0,0,0,0,0,25,5,30,,,,6888,742,40,0,0,0
2015-02-26,7957,7210,747,7502,12,81,41,6,1,5,0,,2761,1160,56,1060,694,1386,302,142,36,43,118,56,2,0,,2756,0,0,1160,0,0,51,5,0,1020,0,40,0,691,1,1386,0,0,302,0,,142,0,0,0,35,0,39,0,0,118,0,0,56,0,0,2,0,0,24,4,28,,,,6770,732,32,0,0,0
2015-05-28,8006,7222,784,7518,7,87,30,5,2,0,0,,2714,1163,50,1058,753,1512,295,149,15,0,111,0,0,0,,2711,0,0,1163,0,0,46,3,0,1029,0,28,0,750,2,1511,0,0,295,0,,149,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,49,8,57,,,,6748,770,42,0,0,0
2015-07-15,8025,7227,798,7546,7,87,35,7,0,0,0,,2760,1184,51,1062,750,1470,284,134,0,0,104,36,2,0,45,2757,0,0,1183,0,0,48,2,0,1028,0,34,0,748,1,1469,0,0,284,0,,134,0,0,0,0,0,0,0,0,104,0,0,0,36,0,1,1,0,0,0,0,39,6,,6758,788,56,0,0,0
